feature,importance
event_cause,34.51950099894331
corridor,9.90312345274636
police_station,9.891698262954964
hour,8.591491373487177
veh_type,8.157799984932455
latitude,7.979150133276571
longitude,4.889864425257232
zone,4.796699785728654
day_of_week,4.404774491345902
is_peak_hour,2.0937564844710117
requires_road_closure,1.7931517538470805
month,1.5172123089469505
priority,1.0461698218930682
event_type,0.22433646931639675
junction,0.19127025285284346
