feature,importance
event_cause,21.071777900126673
police_station,14.748614167316287
veh_type,14.386542368836787
zone,12.900788260900073
corridor,11.486645841886366
hour,5.145234586818035
month,4.305486832557068
latitude,4.100522090050791
day_of_week,3.7153847295790237
junction,3.1273188602853095
longitude,2.702580527143046
priority,0.7260461373840846
requires_road_closure,0.7095343691590993
is_peak_hour,0.5257322380355246
event_type,0.347791089921878
