,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-11-09,4.239603228,7.173118184139946,23.733912932731933,4.239603228,4.239603228,10.945138394993457,10.945138394993457,10.945138394993457,8.967089955999999,8.967089955999999,8.967089955999999,1.978048438993457,1.978048438993457,1.978048438993457,0.0,0.0,0.0,15.184741622993457
1,2023-11-10,4.273867205350993,5.841870808813127,22.42324123150687,4.273867205350993,4.273867205350993,10.270765535861003,10.270765535861003,10.270765535861003,8.967089955999999,8.967089955999999,8.967089955999999,1.3036755798610038,1.3036755798610038,1.3036755798610038,0.0,0.0,0.0,14.544632741211995
2,2023-11-11,4.308131182701987,3.629100654428895,19.601156574313652,4.308131182701987,4.308131182701987,7.8009986050146605,7.8009986050146605,7.8009986050146605,8.967089955999999,8.967089955999999,8.967089955999999,-1.1660913509853397,-1.1660913509853397,-1.1660913509853397,0.0,0.0,0.0,12.109129787716647
3,2023-11-12,4.34239516005298,3.7717540887061194,20.679504341749517,4.34239516005298,4.34239516005298,7.955383744287245,7.955383744287245,7.955383744287245,8.967089955999999,8.967089955999999,8.967089955999999,-1.0117062117127547,-1.0117062117127547,-1.0117062117127547,0.0,0.0,0.0,12.297778904340225
4,2023-11-13,4.376659137403974,2.165116477618976,17.559432314836542,4.376659137403974,4.376659137403974,5.39360670333039,5.39360670333039,5.39360670333039,8.967089955999999,8.967089955999999,8.967089955999999,-3.5734832526696105,-3.5734832526696105,-3.5734832526696105,0.0,0.0,0.0,9.770265840734364
5,2023-11-14,4.410923114754967,6.337497138303118,23.66640519464665,4.410923114754967,4.410923114754967,10.941364670084694,10.941364670084694,10.941364670084694,8.967089955999999,8.967089955999999,8.967089955999999,1.9742747140846946,1.9742747140846946,1.9742747140846946,0.0,0.0,0.0,15.35228778483966
6,2023-11-15,4.445187080238208,5.748671715353827,22.82550950956855,4.445187080238208,4.445187080238208,9.462372038440089,9.462372038440089,9.462372038440089,8.967089955999999,8.967089955999999,8.967089955999999,0.495282082440089,0.495282082440089,0.495282082440089,0.0,0.0,0.0,13.907559118678297
7,2023-11-16,4.479451045721447,6.580194788828979,24.148136465689742,4.479451045721447,4.479451045721447,10.945138394990755,10.945138394990755,10.945138394990755,8.967089955999999,8.967089955999999,8.967089955999999,1.9780484389907544,1.9780484389907544,1.9780484389907544,0.0,0.0,0.0,15.424589440712202
8,2023-11-17,4.513715011204687,7.304006426770182,23.39704739289956,4.513715011204687,4.513715011204687,10.270765535851552,10.270765535851552,10.270765535851552,8.967089955999999,8.967089955999999,8.967089955999999,1.3036755798515522,1.3036755798515522,1.3036755798515522,0.0,0.0,0.0,14.78448054705624
9,2023-11-18,4.5479789766879275,4.408465486921751,20.483668588591375,4.5479789766879275,4.5479789766879275,7.800998605010777,7.800998605010777,7.800998605010777,8.967089955999999,8.967089955999999,8.967089955999999,-1.1660913509892221,-1.1660913509892221,-1.1660913509892221,0.0,0.0,0.0,12.348977581698705
10,2023-11-19,4.582242942171167,4.000805020586872,20.499853659773006,4.582242942171167,4.582242942171167,7.9553837442814945,7.9553837442814945,7.9553837442814945,8.967089955999999,8.967089955999999,8.967089955999999,-1.0117062117185058,-1.0117062117185058,-1.0117062117185058,0.0,0.0,0.0,12.537626686452661
11,2023-11-20,4.616506904372835,1.9383912925626945,17.352965209315542,4.616506904372835,4.616506904372835,5.393606703324998,5.393606703324998,5.393606703324998,8.967089955999999,8.967089955999999,8.967089955999999,-3.573483252675002,-3.573483252675002,-3.573483252675002,0.0,0.0,0.0,10.010113607697832
12,2023-11-21,4.650770866574502,7.360803491118385,23.3880304515057,4.650770866574502,4.650770866574502,10.941364670085457,10.941364670085457,10.941364670085457,8.967089955999999,8.967089955999999,8.967089955999999,1.9742747140854582,1.9742747140854582,1.9742747140854582,0.0,0.0,0.0,15.59213553665996
13,2023-11-22,4.6850348287761685,6.494581931918903,22.74944006641689,4.6850348287761685,4.6850348287761685,9.462372038442098,9.462372038442098,9.462372038442098,8.967089955999999,8.967089955999999,8.967089955999999,0.4952820824420971,0.4952820824420971,0.4952820824420971,0.0,0.0,0.0,14.147406867218265
14,2023-11-23,4.719298790977835,7.348602622621723,24.24588114601879,4.719298790977835,4.719298790977835,10.945138394999077,10.945138394999077,10.945138394999077,8.967089955999999,8.967089955999999,8.967089955999999,1.978048438999077,1.978048438999077,1.978048438999077,0.0,0.0,0.0,15.664437185976912
15,2023-11-24,4.753562748074466,6.850353790128857,23.41048379607538,4.753562748074466,4.753562748074466,10.27076553586536,10.27076553586536,10.27076553586536,8.967089955999999,8.967089955999999,8.967089955999999,1.3036755798653614,1.3036755798653614,1.3036755798653614,0.0,0.0,0.0,15.024328283939827
16,2023-11-25,4.7878267051710965,4.007325813628952,20.756134468990027,4.7878267051710965,4.7878267051710965,7.800998605006895,7.800998605006895,7.800998605006895,8.967089955999999,8.967089955999999,8.967089955999999,-1.1660913509931046,-1.1660913509931046,-1.1660913509931046,0.0,0.0,0.0,12.588825310177992
17,2023-11-26,4.822090662267727,4.693451338409352,21.025457321797784,4.822090662267727,4.822090662267727,7.955383744288276,7.955383744288276,7.955383744288276,8.967089955999999,8.967089955999999,8.967089955999999,-1.0117062117117241,-1.0117062117117241,-1.0117062117117241,0.0,0.0,0.0,12.777474406556003
18,2023-11-27,4.856354619364358,2.225804097264292,18.670203648816933,4.856354619364358,4.856354619364358,5.3936067033261175,5.3936067033261175,5.3936067033261175,8.967089955999999,8.967089955999999,8.967089955999999,-3.5734832526738822,-3.5734832526738822,-3.5734832526738822,0.0,0.0,0.0,10.249961322690474
19,2023-11-28,4.890618576460988,7.458757825897419,24.144971572840156,4.890618576460988,4.890618576460988,10.941364670090037,10.941364670090037,10.941364670090037,8.967089955999999,8.967089955999999,8.967089955999999,1.9742747140900367,1.9742747140900367,1.9742747140900367,0.0,0.0,0.0,15.831983246551026
20,2023-11-29,4.924882528213885,6.677585321271062,22.68097397257189,4.924882528213885,4.924882528213885,9.462372038444105,9.462372038444105,9.462372038444105,8.967089955999999,8.967089955999999,8.967089955999999,0.49528208244410554,0.49528208244410554,0.49528208244410554,0.0,0.0,0.0,14.38725456665799
21,2023-11-30,4.9591464799667815,7.611988622380445,24.316787110962444,4.9591464799667815,4.9591464799667815,10.9451383950074,10.9451383950074,10.9451383950074,8.967089955999999,8.967089955999999,8.967089955999999,1.9780484390073994,1.9780484390073994,1.9780484390073994,0.0,0.0,0.0,15.90428487497418
22,2023-12-01,4.993410431719679,6.695911757081074,23.029322396511592,4.993410431719679,4.993410431719679,10.27076553585849,10.27076553585849,10.27076553585849,8.967089955999999,8.967089955999999,8.967089955999999,1.3036755798584903,1.3036755798584903,1.3036755798584903,0.0,0.0,0.0,15.264175967578169
23,2023-12-02,5.027674383472575,4.595387538998517,20.900084092781913,5.027674383472575,5.027674383472575,7.800998605002011,7.800998605002011,7.800998605002011,8.967089955999999,8.967089955999999,8.967089955999999,-1.1660913509979893,-1.1660913509979893,-1.1660913509979893,0.0,0.0,0.0,12.828672988474587
24,2023-12-03,5.061938335225471,4.884962202479231,20.897386398744832,5.061938335225471,5.061938335225471,7.955383744282524,7.955383744282524,7.955383744282524,8.967089955999999,8.967089955999999,8.967089955999999,-1.0117062117174755,-1.0117062117174755,-1.0117062117174755,0.0,0.0,0.0,13.017322079507995
25,2023-12-04,5.096202277571707,2.3264199109556096,18.621089980381814,5.096202277571707,5.096202277571707,5.393606703328597,5.393606703328597,5.393606703328597,8.967089955999999,8.967089955999999,8.967089955999999,-3.5734832526714033,-3.5734832526714033,-3.5734832526714033,0.0,0.0,0.0,10.489808980900303
26,2023-12-05,5.130466219917942,7.747362751874849,24.095050634100986,5.130466219917942,5.130466219917942,10.941364670086983,10.941364670086983,10.941364670086983,8.967089955999999,8.967089955999999,8.967089955999999,1.9742747140869834,1.9742747140869834,1.9742747140869834,0.0,0.0,0.0,16.071830890004925
